ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-17,230.5580347423523,211.90138669833925,255.1090374453043,230.5580347423523,230.5580347423523,3.0789103710669297,3.0789103710669297,3.0789103710669297,3.0789103710669297,3.0789103710669297,3.0789103710669297,0.0,0.0,0.0,233.63694511341924
2023-11-20,229.8106575932099,211.72646982405536,256.4803423854869,229.8106575932099,229.8106575932099,3.372621210552915,3.372621210552915,3.372621210552915,3.372621210552915,3.372621210552915,3.372621210552915,0.0,0.0,0.0,233.18327880376282
2023-11-21,229.56153188607993,210.90741509369875,256.5899128185085,229.56153188607993,229.56153188607993,6.143872736356827,6.143872736356827,6.143872736356827,6.143872736356827,6.143872736356827,6.143872736356827,0.0,0.0,0.0,235.70540462243676
2023-11-22,229.31240617895003,212.21082143914194,257.8283784216795,229.31240617895003,229.31240617895003,5.6797379119701965,5.6797379119701965,5.6797379119701965,5.6797379119701965,5.6797379119701965,5.6797379119701965,0.0,0.0,0.0,234.99214409092022
2023-11-24,228.8141547646901,207.85303824235402,255.09539421184334,228.8141547646901,228.8141547646901,3.07891037104956,3.07891037104956,3.07891037104956,3.07891037104956,3.07891037104956,3.07891037104956,0.0,0.0,0.0,231.89306513573968
2023-11-27,228.06677764330024,207.69569849963375,253.99685549266465,228.06677764330024,228.06677764330024,3.372621210564442,3.372621210564442,3.372621210564442,3.372621210564442,3.372621210564442,3.372621210564442,0.0,0.0,0.0,231.43939885386467
2023-11-28,227.81765193617028,210.20796436058745,256.40387031736805,227.81765193617028,227.81765193617028,6.143872736360964,6.143872736360964,6.143872736360964,6.143872736360964,6.143872736360964,6.143872736360964,0.0,0.0,0.0,233.96152467253125
2023-11-29,227.56852622904037,209.8885642640423,255.82954035585863,227.56852622904037,227.56852622904037,5.679737911969203,5.679737911969203,5.679737911969203,5.679737911969203,5.679737911969203,5.679737911969203,0.0,0.0,0.0,233.24826414100957
2023-11-30,227.3194005219104,208.81088263748984,254.0991429506246,227.3194005219104,227.3194005219104,3.3061397450292658,3.3061397450292658,3.3061397450292658,3.3061397450292658,3.3061397450292658,3.3061397450292658,0.0,0.0,0.0,230.62554026693968
2023-12-01,227.07027481478042,207.1126794908072,252.01766694092862,227.07027481478042,227.07027481478042,3.078910371087674,3.078910371087674,3.078910371087674,3.078910371087674,3.078910371087674,3.078910371087674,0.0,0.0,0.0,230.1491851858681
2023-12-04,226.31487479316226,206.59961585020133,252.9817742197442,226.31487479316226,226.31487479316226,3.372621210564935,3.372621210564935,3.372621210564935,3.372621210564935,3.372621210564935,3.372621210564935,0.0,0.0,0.0,229.6874960037272
